address,neighborhood,list_price,lat,lon,estimator_low,estimator_final,estimator_high,estimator_range,delta_list_minus_estimator,delta_estimator_minus_list,confidence_score,confidence_label,error
7235 112 ST NW,McKernan,949000.0,53.5095679,-113.5195637,617122.74,812003.6,1006884.46,389761.72,136996.40000000002,-136996.40000000002,99.0,high,
11118 72 AV NW,McKernan,765000.0,53.508721,-113.5176706,616071.82,810620.82,1005169.82,389098.0,-45620.81999999995,45620.81999999995,99.0,high,
10906 72 AV NW,McKernan,490000.0,53.5087042,-113.5123674,413692.25,504245.69,594799.13,181106.88,-14245.690000000002,14245.690000000002,99.0,high,
11212 75 AV NW,McKernan,599900.0,53.511531,-113.5206573,534358.04,703102.69,871847.34,337489.29999999993,-103202.68999999994,103202.68999999994,99.0,high,
10935 76 AV NW,McKernan,739800.0,53.5120429,-113.5137522,582911.75,766989.14,951066.53,368154.78,-27189.140000000014,27189.140000000014,99.0,high,
11520 78 AV NW NW,Rio Terrace Neighbourhood,799000.0,53.5114802,-113.5818966,477107.43,595864.57,714621.71,237514.27999999997,203135.43000000005,-203135.43000000005,99.0,high,
11106 76 AV NW,McKernan,750000.0,53.5125078,-113.5170737,496690.52,653540.16,810389.8,313699.28,96459.83999999997,-96459.83999999997,99.0,high,
11439 80 AV NW,McKernan,599000.0,53.5158167,-113.5276415,500507.29,658562.23,816617.17,316109.88000000006,-59562.22999999998,59562.22999999998,99.0,high,
6411 149 AV NW NW,McLeod,464900.0,53.6100255,-113.4414387,325981.18,393064.12,460147.06,134165.88,71835.88,-71835.88,99.0,high,
15007 59A ST NW,McLeod,425000.0,53.6123894,-113.4330715,338358.92,399590.61,460822.3,122463.38,25409.390000000014,-25409.390000000014,99.0,high,
10727 149 ST NW,McQueen,349900.0,53.5521532,-113.5775178,385915.63,453113.17,520310.71,134395.08000000002,-103213.16999999998,103213.16999999998,99.0,high,
11003 144 ST NW,McQueen,400000.0,53.5574058,-113.5682088,372558.55,490208.62,607858.69,235300.13999999996,-90208.62,90208.62,99.0,high,
10927 146 ST NW,McQueen,429900.0,53.5573837,-113.5722672,354513.47,444035.61,533557.75,179044.28000000003,-14135.609999999986,14135.609999999986,99.0,high,
10860 147 ST NW,McQueen,499000.0,53.5556292,-113.5751917,413710.22,497306.33,580902.44,167192.21999999997,1693.6699999999837,-1693.6699999999837,99.0,high,
10724 148 ST NW,McQueen,478000.0,53.552495,-113.5767121,372662.29,450362.09,528061.89,155399.60000000003,27637.909999999974,-27637.909999999974,99.0,high,
15702 89A AV NW,Meadowlark Park,474900.0,53.5240199,-113.5936571,357538.86,427847.21,498155.56,140616.7,47052.78999999998,-47052.78999999998,99.0,high,
#306 9120 156 ST NW,Terwillegar Towne,209900.0,53.4464624,-113.590134,741070.08,1017953.41,1294836.74,553766.66,-808053.41,808053.41,79.0,medium,
15719 89A AV NW,Meadowlark Park,499000.0,53.524606,-113.5950903,357434.62,425047.85,492661.08,135226.46000000002,73952.15000000002,-73952.15000000002,99.0,high,
16049 95 AV NW,Holyrood,449999.0,53.5326022,-113.4509861,6707.48,8825.63,10943.78,4236.300000000001,441173.37,-441173.37,99.0,high,
