neighbourhood_number,neighbourhood,ward,population_2021,households_2021,area_sq_km,population_characteristic,households_characteristic,source_area_id,geography_level
5642,SOUTH TERWILLEGAR,pihêsiwin,9645.0,3720.0,1.7281821370124817,total_population,sum_household_size_distribution,N5642,neighbourhood
6010,ARGYLL,papastew,825.0,350.0,0.3560141697525978,total_population,sum_household_size_distribution,N6010,neighbourhood
6020,AVONMORE,Métis,2170.0,950.0,0.8894868157804012,total_population,sum_household_size_distribution,N6020,neighbourhood
6030,BISSET,Sspomitapi,3865.0,1370.0,0.9351566582918167,total_population,sum_household_size_distribution,N6030,neighbourhood
6040,BONNIE DOON,Métis,4975.0,2335.0,1.4880747571587563,total_population,sum_household_size_distribution,N6040,neighbourhood
6061,CAPILANO,Métis,2650.0,1090.0,1.29515315964818,total_population,sum_household_size_distribution,N6061,neighbourhood
6070,CLOVERDALE,Métis,885.0,445.0,1.0818167887628078,total_population,sum_household_size_distribution,N6070,neighbourhood
6090,CORONET ADDITION INDUSTRIAL,Métis,,,0.4294873885810375,,,N6090,neighbourhood
6100,CORONET INDUSTRIAL,papastew,,,1.593206524848938,,,N6100,neighbourhood
6110,CPR IRVINE,papastew,,,0.6579700745642185,,,N6110,neighbourhood
6140,CRAWFORD PLAINS,Sspomitapi,4220.0,1430.0,1.1166407987475395,total_population,sum_household_size_distribution,N6140,neighbourhood
6150,DALY GROVE,Sspomitapi,3485.0,1220.0,0.9397325776517391,total_population,sum_household_size_distribution,N6150,neighbourhood
6160,DAVIES INDUSTRIAL EAST,Métis,,,1.6202383004128933,,,N6160,neighbourhood
6170,DAVIES INDUSTRIAL WEST,Métis,,,1.31581187620759,,,N6170,neighbourhood
6180,EASTGATE BUSINESS PARK,Métis,,,2.600336641073227,,,N6180,neighbourhood
6190,EDMONTON RESEARCH AND DEVELOPMENT PARK,Karhiio,,,1.2061396352946758,,,N6190,neighbourhood
6195,SOUTH EDMONTON COMMON,Karhiio,,,1.3901880122721195,,,N6195,neighbourhood
6200,EKOTA,Karhiio,2510.0,915.0,0.8127603009343147,total_population,sum_household_size_distribution,N6200,neighbourhood
6211,ELLERSLIE,Karhiio,5985.0,2025.0,1.56619518622756,total_population,sum_household_size_distribution,N6211,neighbourhood
